starts_per_l1,reserve_starts_per_l1,attrition_rate,exact_probability_at_least_300_per_l1,exact_shortfall_probability_per_l1,exact_probability_both_l1_strata,exact_shortfall_probability_at_least_one_l1_stratum,mc_probability_at_least_300_per_l1,mc_wilson95_lower,mc_wilson95_upper,completers_p05,completers_p50,completers_p95,route_range_p50,route_range_p95,option_layout_range_p50,option_layout_range_p95,cell_minimum_p05,cell_minimum_p50,cell_range_p50,cell_range_p95,probability_all_60_cells_represented,exact_probability_all_60_cells_have_at_least_5_completers,mc_probability_all_60_cells_have_at_least_5_completers
300,0,0,1,0,1,0,1,0.99980796,1,300,300,300,0,0,0,0,5,5,0,0,1,1,1
300,0,0.05,2.0753033477680785e-7,0.9999997924696652,4.3068839852573945e-14,0.9999999999999568,0,0,0.00019204,278,285,291,3,5,4,6,2,3,2,3,0.9999,2.075303347768083e-7,0
300,0,0.1,1.8739277038847933e-14,0.9999999999999812,3.5116050393869336e-28,0.9999999999999999,0,0,0.00019204,261,270,278,5,7,5,8,2,3,2,3,0.9997,1.8739277038847864e-14,0
300,0,0.15,6.69387678967901e-22,1,4.480798647540337e-43,1,0,0,0.00019204,245,255,265,6,9,6,10,1,2,3,4,0.9959,6.693876789678947e-22,0
300,0,0.2,8.452712498170639e-30,1,7.144834857673012e-59,1,0,0,0.00019204,228,240,251,7,10,7,11,1,2,3,4,0.98015,8.452712498170685e-30,0
360,60,0,1,0,1,0,1,0.99980796,1,360,360,360,0,0,0,0,6,6,0,0,1,1,1
360,60,0.05,0.9999999999999998,9.745187639440399e-17,0.9999999999999996,1.9490375278880798e-16,1,0.99980796,1,335,342,349,4,6,4,7,3,4,2,3,1,0.13541986207643417,0.13955
360,60,0.1,0.9999662654995256,0.000033734500474334236,0.9999325321370678,0.00006746786293214621,0.99995,0.99971681,0.99999117,314,324,333,5,8,6,9,2,3,3,4,0.99995,0.0006890145215808188,0.00045
360,60,0.15,0.8317602488949231,0.1682397511050769,0.6918251116417443,0.3081748883582556,0.83155,0.82629948,0.83667318,295,306,317,6,9,7,11,2,3,3,4,0.9995,2.558353986703689e-7,0
360,60,0.2,0.062492055374066796,0.9375079446259331,0.0039052569848754305,0.9960947430151246,0.06055,0.05732821,0.06394057,275,288,300,7,11,8,12,1,2,4,5,0.99625,9.745314011399948e-12,0
420,120,0,1,0,1,0,1,0.99980796,1,420,420,420,0,0,0,0,7,7,0,0,1,1,1
420,120,0.05,1,1.3475862865814147e-56,1,2.6951725731628294e-56,1,0.99980796,1,392,399,406,4,6,4,7,4,5,2,3,1,0.7978400797589624,0.7996
420,120,0.1,1,4.0817036946761076e-27,1,8.163407389352215e-27,1,0.99980796,1,368,378,388,6,9,6,10,3,4,3,4,1,0.20979227119877325,0.20645
420,120,0.15,0.9999999999996004,3.995108119573546e-13,0.9999999999992009,7.990216239145497e-13,1,0.99980796,1,345,357,369,7,10,7,12,2,3,4,5,0.9999,0.010075503625459559,0.01005
420,120,0.2,0.9999898991420048,0.000010100857995289836,0.9999797983860369,0.00002020161396324743,1,0.99980796,1,322,336,349,8,11,8,13,2,3,4,5,0.99925,0.00006689551104108341,0.0001
